"","스트리머","스트레이.키즈","인터넷방송","국내야구","수능","겨울왕국","리그.오브.레전드","만화","기타.국내.드라마","엘소드"
"11","선호산은 노룩넌이나 완성해라 희생해서","[2차][드림캐쳐갤]<U+2B50> Deja Vu<U+2B50>로 듴갤에서 신곡 축하왔듴 설X","강지환이 엘린하고 사겼다","요즘 훌라후프를 잘 안하는 이유...gif","난 서울대 안부러워","안나 인기 개조진거봐라","트나 트리 트타","와씨 베이스 스필링이 bass가 아니었네","연예인들 그냥 빠수니 만나면 안댐?","양말보단트리가더나은듯"
"12","호산아 룩돌리 데려가 제발","[2차][방탄갤]♥Boy With Luv♥ 신곡축하를 위한 시♥(설X)","도아 현재심경 막타 ㅠㅠㅜㄴ","행지 저 김경진 닮은새끼가 헌포 캐리한ㄷ0","연애공작소 어플아냐","프2 개인적으로 소름 돋은 장면","다이아이상만) 갱플 이렐 뭐연습할까요","유동님들 죄송합니다 ㅠㅠㅠㅠㅠㅠ","음식 낚시짤은 좋네","오늘자 저능아 레전드"
"13","호산아 고맙다 !","[2차][송유빈마갤]<U+2744>비오브유 1/7데뷔<U+2744>유빈이가 신곡축하왔어윱(설X)","작년 시상식 뒷풀이 생각나네 ㅋㅋ(feat.케이 세야)","논두렁에 빠져있던....","서울대 로스쿨애들이 말 잘함??","소비자권익위원회, 겨울왕국2스크린독점관련으로 정식기소...누리꾼들논란","롤 질문) 레오나 e 맞아도 스킬은 쓸수잇음??","마왕 용사 번역좀 빨리해 시발 하루 3편씩 하라고","손예진 일부로 안쪽 의상 끈 보이게 입으려고 연출한거같은데","중국소드 8주년 팬아트 이벤 수상작들.jpg"
"14","치킨쿤 오킹 예지 던 지수 씹노잼 가즈앙기모찌~~~~~~~~~~~~~","[2차][ITZY갤] 남들과는 <U+2728>달라달라<U+2728>신곡 축하 있지<U+2753>있지<U+2757>(설쉬)","아시발 ㅋㅋㅋ 인방갤러새끼들 드립감안죽엇노 ","야!!!!!!!!","아니얘들아시발","12월 12일엔 아맥 없음??","양말뜨냐 ?","받짤맛","서예지 예쁜데 뭔가 남자스런 느낌 들어","오염 너만 오면 고"
"15","오킹 쌍베 둘다 한통속 오라고 기도중이냐?","[2차][타카다켄타갤]억겁의 시간을<U+2764>ONLY ONE<U+2764>한 신곡축하<U+2B50>설쉬","설리 악플쓸까 말까 씹 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","미국에서 파는 성기구..jpg","서울대 몇명있냐 개추눌러봐","안나도 코딱지 팔까","징크스는 왜 영감 안드는지 아는사람?","운동하려햇더니비옴","전광훈 ""하나님 까불면 죽어""…이번엔 '신성모독' 논란 ","발냄새난다 양말련들아. . ."
"16","선호산 공 돌 룩 가져가면 어케되냐","[2차][엠넷갤] 신곡 축하드립니다 (설쉬) 바","이제 와드견이냐?ㅋㅋㅋㅋㅋㅋㅋㅋ","여기 국힙듣는애들은 없냐","숭실 논술 예비2번 가능성있음?","프붕이 부랄친구들한테 프로즌드립 쳐봤다.....","반고닉양말이 더이쁘네 진짜머냐..?","이새끼 남자같음? 여자같음?","오늘 서예지네 알바쓴거같다","북딱"
"17","호산이 응원한다 ㅋㅋㅋ ","[2차][프듀48 김나영갤] 신곡 축하왔나영<U+2618>(설x)","양팡 짬식이랑 시장간거 언제임?","솔까 게이리그 중계좀 해주셈","공대 전공학과별 순위","후.....2회 달렸다","근데 이 씹덕새끼들은 양말 어디서 얻어옴?","심심해서 그린 그림림","한남들 술집여자에 대한 환상이 너무 심해","ㄴ애자련임<U+267F><U+267F><U+267F>"
"18","차라리 광대 한쪽에 다모인게 낫긴해","[2차][배진영마갤]<U+2744>순수의 시대<U+2744>신곡축하왔진영(설x)","왜 걔랑 엮이면 다 파괴당하는가?.txt","코사람","진짜 자살하고싶다 하;;;","다들밥먹고 프갤해...","아니시발 이거 갑자기 머임??","마왕 다음화 안뜨냐고","근데 박유천은 좀억울한감이 있지 인기많고 존잘이었자나","고닉들은 눈사람도 못달고 불쌍해"
"19","호산팀 룩공노 ㄱㄱㄱㄱ","[2차][유선호갤]<U+2615>아이돌다방<U+2615>MC선호가<U+2764>신곡스밍<U+2764>왔서노(설X)","광어만 까면 섭하지 ㅋㅋ남가도 같이 까야 재맞이지 암","설거지하다 그릇깨먹었어...","의대 과목 반영 비율 보통 얼마잡음?","아맥 상영 내일이 끝이예요?","시발 애미뒤진 슼갈강점기네 또","안짱!안짱!안짱!","말은 바로하자 보통사람이 술접대 못하는게 아니라 안시켜주지","ㅇ"
"20","개념글 얍얍 사건 결국 어떻게 됨?","[2차][엠넷갤] 신곡 축하드립니다 (설쉬) 지","천삼이는 오메킴없이 데뷔했어도 최소 월천만원은 벌었지","12살 김규리.jpg","2022수능은 이과도 사탐보냐?","썸네체 다좋은데 스벤부분이 ㅅㅂ","승리의 양갈들 댓글 ㄱㄱ","근데 다른사람들 의식하는 대사는 왜 나온것","근데 2016년도에 일어난 일이라며?","오염 너만 오면 고"
