"","국내야구","스트레이.키즈","프로듀스.X.101","만화","수능","스트리머","기타.국내.드라마","리그.오브.레전드","대출","겨울왕국"
"84","스테이크 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ","[2차][김다연갤] 잔망단이 스밍인증하러왔어요~","얼마전에 짭계자가 이월에 엑스원 컴백한다 했잖아","무슨 씨발 새로운게 없네","아니진짜 경희대논술 붙으면 시발 진짜 경희대에서 옷벗고","칸 쟤는 갈리오 몇판을 했는데 e뒤로쓰는걸 못하냐","어휴 시발 저길 갔어 또","<U+274C><U+274C>한국 솔랭만큼은 수준높다는애들아 c9봇듀 천점인데?<U+274C><U+274C>","??? 오링났다니까 3천원보내고있내 ㅋㅋㅋㅋ","재송한데 일반 싱어롱은 안갈예정"
"85","함박ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","[2차][아사이나나미갤]신곡 스밍왔나밍(설쉬)","김우석 말인대","2 월 1 4 일 드 슈 보","^^ㅣ발 가천대가면 무시받냐?","이번대회는 팀끼리 스크림한대? 봉봉 보기싫은대ㅡㅡ","나정선이 아깝다 시발 헤어지고 금수저 신입으로 갈아타자","<U+274C><U+274C>한국 솔랭만큼은 수준높다는애들아 c9봇듀 천점인데?<U+274C><U+274C>","5000원급구세시간째  죽여주라  그냥","뒷북 미안한데 싱어롱은 뭐하는 거야?"
"86","하아 맛잇겟노 ㅋㅋㅋㅋ","[2차][더태민갤]<U+2705>This is Your Day<U+2705>신곡축하(설x)멜","븅앰 있으면 질문있긔","헉 내일 마스크팩 해야게따","쓰리제이 질문","시발년 지금 잘되는거보니까 충전안시킨거맞네 ㅋㅋㅋ","아이고 돌이킬수없다","프리코네 원탑.jpg","합홀 형","내일 아맥 갔다가 포티 뽑으려는데 예매당 1장만 되는거야?"
"87","햄버거스테이크 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","[2차][JBJ95갤]<U+2744>ONLY ONE<U+2744>의 신곡축하왔구오<U+2764>(설X)☆&","ㅇㅇ 윾동 탄압","예엣날엔 로갓하고 셀프 고닉죽이기 했었음....","일용직 노가다 뛰는 서울대생의 신세한탄.jpg","킹냐맨도 감독 잘 하네","ㅋㅋㅋㅋㅋㅋ ㅅㅂ 이혼해","<U+274C><U+274C>한국 솔랭만큼은 수준높다는애들아 c9봇듀 천점인데?<U+274C><U+274C>","이걸낚이는븅1신도있구나 질라ㅅㅅㅆㅅㅅㅅ","Let it go~"
"88","함박스테이크 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","[2차][JBJ95갤]<U+2744>ONLY ONE<U+2744>의 신곡축하왔구오<U+2764>(설X)ㄲ","언냐들 끄붕이 이제 소떡2먹긔","쟤는 유동으로도 좆같은글만 쓰네","얘들아 개념글 수정 못하냐??","돼지새끼 공방인데 도네는 꾸역꾸역 쳐받네","이상윤은 화낼때 지가 겁먹고 목소리가 떨려",".","뜬금형 좀주라","겨1 레릿고영상 20년뒤에 보면 어떤평가일까"
"89","요요미누나 오물오물 잘 처먹노 ㅋㅋㅋ","[2차][X1리얼리티갤] <U+2708>FLA<U+26A1>H로 비상<U+2708> 신곡축하왔스ONE<U+2764>(설X)","ㅇㅇ 말고 다른거 한 유동들은 발언권줄게","짤 감사합니다!!","니들 싸고나서 샤워기 직빵해봤냐??","배터리 없는 거 아님 걍 고장난 거","미친놈아","씨발년들아 민트초코 참기 왜 신고해서 내려","진짜 어진이형 동생이 밉냐 존나 미운거같은디 걍","뭔 픽스어퍼를 가사보고 어캐불러 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"90","함바ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","[2차][ITZY갤] 남들과는 <U+2728>달라달라<U+2728>신곡 축하 있지<U+2753>있지<U+2757>(설쉬)","♨+","내글!!!! 왜!!! 삭제!!!!!!! 하냐고오오!!!!!!!!!!!!!","솔직히 중경시까진 훌리여도 ㅇㅈ이지","원래 스트라이커는 한명이라고 5팡머 별로임","너 아직도 그 여자 사랑하니?? 그런거 아니야","롤망호 4/5 막잘","황금혜택이랑 그레이트라이노가 좆꿀잼이여 ㅋㅋ","오늘은 관객 팍 줄겟지? 한 5만?"
"91","함바 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","[2차][더태민갤]<U+2705>This is Your Day<U+2705>신곡축하(설x)<U+275B><U+029A><U+275B>","섹스원에서 누가 젤 하얌","야야야야야 소드아트온라인 재밌냐???","답지 공부법 어떻게생각하냐","자낳대 혜요 참가한다고 했을 때 여기 애들이 예견한 대로 되네","이상윤 캐릭 줜나 병신같네","제이스하는 새끼들 다 뒤져라","이번꺼 파홀이라고 파워볼형 ","싱어롱 시작하자마자 실감날듯"
"92","함바ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","[더태민갤]<U+2705>This is Your Day<U+2705>신곡축하왔탬(설x)♡6v6♡","ㄴ ㅏ 들은거 있어서 스포하러 왔는데","늑대미소녀 흥갤콘 출시 준비중...","오늘의 디씨 꿀팁)","공돼지 걍 겜을 모름","혼외자끼리 통하는게 있나보다","루시안 새로 녹음한거임?","ㅋㅋㅋ파볼형존 나웃기네그냥ㅋㅋㅋㅋ","프붕이 뉴욕에서 굿즈 셔틀시킴 ㅁㅌㅊ?"
"93","야테이크 ㄷ","[2차][더태민갤]<U+2705>This is Your Day<U+2705>신곡축하(설x)지","난 로갓하고 까플 안 열어","벗겼더니 가슴 개크네","아니시발 지금 나 정시로 단국대 인천대 이런거 보고잇는데","룩갈공명 ㅋㅋㅋ","아니 이상윤 온유리 그냥 동정심같은거 아니엇냐?ㅋㅋㅋ","수갤에서 다운받은 06년생 시리즈 공유한다.jyp","하 진짜 축구싳네","군대가면 넥라띵 들으면서 버텨야지.."
"94","함바 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ","[2차][더태민갤]<U+2705>This is Your Day<U+2705>신곡축하왔탬(설x)☆☆","석이가 행복했으면 좋겠어","만붕이 그림어떰","아니 경희자과대면 ㅂㅅ아니냐?","공가놈 도네좀 꺼라 ㄹㅇㅋㅋㅋ","박성준이 나쁜놈인건 괜히 위선떨어서그런거임","도란은 즐겜하고 징계인데 구마유시는 왜 노징계?","이거머농ㅅㅅㅅㅅㅅㅅㅆㅅ","카톡에서 없어진거 실화임??"
"95","육즙ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","[2차][임영민갤]<U+2744>12/25 메리영민데이<U+2744>신곡축하<U+2764>(설X)","고닉깅이들 패지마 시발련들아ㅋㅋ","내마위 남주 특징","아내를죽였다 재밌겠냐?","저새낀 진짜 마허 라인 잘 탔다 ㄹㅇㅋㅋ","사랑하는데 꼬투리잡히기싫어서 빙빙 돌려말함","랄로 편집영상입니다","요즘 자고일어나면 대가리띵한데 이거왜이럼","싱어롱 때메 썸네체만 존나 듣는 중인데 진짜 개어렵다"
"96","좆한민국에서 대두가 나온다고?? ㅋㅋㅋㅋ","[2차][ITZY갤] 남들과는 <U+2728>달라달라<U+2728>신곡 축하 있지<U+2753>있지<U+2757>(설쉬)","올라프나 붙이시긩ㅋ","자고샆어자게해줘자고싶어자게해줘","기생충은 호불호 갈리냐","한동숙팀에 강형이란 여자 목소리 왜이리 기름지냐?","비혼 권유 드라마","군대 부조리는 찐따라 당하는게 아님 ㅇㅇ","파볼형 오늘도 검승 ㅅ ㅅ ㅅ ㅅ ㅅ ㅅ. ㅅ ㅅ ㅅ","노래방에 한국어로도"
"97","연자 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ","[2차][더태민갤]<U+2705>This is Your Day<U+2705>신곡축하왔탬(설x)","승석 씨발 존좋","얀데레 야마다","""야 4수생""","얼방만 하던놈 답노ㅋㅋㅋㅋㅋ버티기ㅋㅋㅋㅋ","남주캐릭 암만 봐도 쉴드칠수가없어","서양애들이 한국머리안하는이유는","어디서부터 껴야 나도 좀 끼아줍니꺼 꼽사리좀","싱어롱에도"
"98","요묘미 눈 크네",NA,"고닉 커비콘 녁 팬싸에서 봄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","전세계 언어 마스터 vs 수학 모든문제를 3초안에푸는능력","강남 하이퍼 최고 반 조건이 뭐냐?","대타만 하면 루사가 이기네","정선아 눈밑점찍고 사장한테 붙자 ","밥도둑",NA,"보랩싱어롱 라이브에이드 특히 라디오가가때 팬티젖음"
"99","다음메뉴 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",NA,NA,"일본국 소환 존나 웃기네","↑제목만 봐도 친구 없는게 티나지 않냐?",NA,"씨발vs시발vs씨팔vs시빨vs씨불","야 이상한아이콘 어떻게받아 나도받을래",NA,"중간에 제스처 게임 끝나고 똑똑또똑똑 이건 따라해도 ㅇㅈ?"
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
